1true/false,Unnamed: 0,claim,prompts,GPT_Response_1,gpt_t,gpt_f,id,,,predicted,,,,
FALSE,36,The term 'fossil fuel' was coined by John D. Rockefeller to trick people into thinking oil is a scarce commodity,"Read the claim below, then answer the question at the end:

Claim: The term 'fossil fuel' was coined by John D. Rockefeller to trick people into thinking oil is a scarce commodity
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1314,,,,,,,
FALSE,37,mRNA vaccines alter DNA,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines alter DNA
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1475,,,,,,,
FALSE,39,Overdose of fentanyl just by being in its presence is possible.,"Read the claim below, then answer the question at the end:

Claim: Overdose of fentanyl just by being in its presence is possible.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1486,,,,,,,
FALSE,40,Approved vaccines are more dangerous than COVID-19.,"Read the claim below, then answer the question at the end:

Claim: Approved vaccines are more dangerous than COVID-19.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1545,,,,,,,
FALSE,41,Hundreds of dead birds on ship deck are linked to 5G radiation.,"Read the claim below, then answer the question at the end:

Claim: Hundreds of dead birds on ship deck are linked to 5G radiation.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1608,,,,,,,
FALSE,42,COVID-19 vaccines are a ploy to connect people to 5G.,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are a ploy to connect people to 5G.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1611,,,,,,,
FALSE,43,Variants are simply spike proteins; they are versions of the same virus that relate in sequence.,"Read the claim below, then answer the question at the end:

Claim: Variants are simply spike proteins; they are versions of the same virus that relate in sequence.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1676,,,,,,,
FALSE,45,There is evidence that COVID-19 vaccines increase risk of miscarriage,"Read the claim below, then answer the question at the end:

Claim: There is evidence that COVID-19 vaccines increase risk of miscarriage
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1778,,,,,,,
FALSE,46,Hydroxychloroquine can be made at home using fruit peel,"Read the claim below, then answer the question at the end:

Claim: Hydroxychloroquine can be made at home using fruit peel
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1785,,,,,,,
FALSE,47,COVID-19 vaccines will kill people by causing antibody-dependent enhancement,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will kill people by causing antibody-dependent enhancement
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1827,,,,,,,
FALSE,48,COVID-19 vaccines are infectious.,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines are infectious.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1935,,,,,,,
FALSE,49,Sneaker color shows what side of the brain is dominant.,"Read the claim below, then answer the question at the end:

Claim: Sneaker color shows what side of the brain is dominant.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1979,,,,,,,
FALSE,50,COVID vaccines 'shed' from one person to another and cause reproductive problems,"Read the claim below, then answer the question at the end:

Claim: COVID vaccines 'shed' from one person to another and cause reproductive problems
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1981,,,,,,,
FALSE,51,"COVID-19 vaccines will cause 'cytokine storms', a life-threatening systemic inflammatory syndrome.","Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines will cause 'cytokine storms', a life-threatening systemic inflammatory syndrome.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1991,,,,,,,
FALSE,52,mRNA vaccines reduce life expectancy or cause severe health issues.,"Read the claim below, then answer the question at the end:

Claim: mRNA vaccines reduce life expectancy or cause severe health issues.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,2016,,,,,,,
FALSE,53,“ethylene oxide-coated” swabs in lateral flow tests cause cancer.,"Read the claim below, then answer the question at the end:

Claim: “ethylene oxide-coated” swabs in lateral flow tests cause cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,2105,,,,,,,
FALSE,54,Motorized 'spermbot' has a connection to the COVID-19 vaccine.,"Read the claim below, then answer the question at the end:

Claim: Motorized 'spermbot' has a connection to the COVID-19 vaccine.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,2138,,,,,,,
FALSE,55,COVID-19 vaccines take away the human rights of recipients,"Read the claim below, then answer the question at the end:

Claim: COVID-19 vaccines take away the human rights of recipients
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,2139,,,,,,,
FALSE,56,Asymptomatic people can't infect others with COVID-19,"Read the claim below, then answer the question at the end:

Claim: Asymptomatic people can't infect others with COVID-19
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,2207,,,,,,,
FALSE,59,Red Bull and Bang energy drinks test positive for various illicit and prescription drugs.,"Read the claim below, then answer the question at the end:

Claim: Red Bull and Bang energy drinks test positive for various illicit and prescription drugs.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5602,,,,,,,
FALSE,60,Sniffing rosemary increases human memory by up to 75 percent.,"Read the claim below, then answer the question at the end:

Claim: Sniffing rosemary increases human memory by up to 75 percent.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5604,,,,,,,
FALSE,61,"""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise.","Read the claim below, then answer the question at the end:

Claim: ""Rocks falling into the ocean"" is a factor that contributes to observable sea level rise.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5605,,,,,,,
FALSE,62,Every cell in the human body is replaced every seven years.,"Read the claim below, then answer the question at the end:

Claim: Every cell in the human body is replaced every seven years.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5606,,,,,,,
FALSE,64,Eating alligator will help save the wetlands of Louisiana.,"Read the claim below, then answer the question at the end:

Claim: Eating alligator will help save the wetlands of Louisiana.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5608,,,,,,,
FALSE,65,Using toilet paper as a barrier between you and a toilet seat poses more health risks than just sitting down without a barrier.,"Read the claim below, then answer the question at the end:

Claim: Using toilet paper as a barrier between you and a toilet seat poses more health risks than just sitting down without a barrier.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5609,,,,,,,
FALSE,66,"Placing a raw, cut onion in contact with your foot overnight‚ purifies your blood, removes toxins, and heals your body.","Read the claim below, then answer the question at the end:

Claim: Placing a raw, cut onion in contact with your foot overnight‚ purifies your blood, removes toxins, and heals your body.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5611,,,,,,,
FALSE,67,Cancer is caused by a deficiency of vitamin B17.,"Read the claim below, then answer the question at the end:

Claim: Cancer is caused by a deficiency of vitamin B17.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5612,,,,,,,
FALSE,68,Peanut butter can be used to diagnose Alzheimer's Disease.,"Read the claim below, then answer the question at the end:

Claim: Peanut butter can be used to diagnose Alzheimer's Disease.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5613,,,,,,,
FALSE,71,Time itself is speeding up and we actually perceive a 24-hour day as a 16-hour day.,"Read the claim below, then answer the question at the end:

Claim: Time itself is speeding up and we actually perceive a 24-hour day as a 16-hour day.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5616,,,,,,,
FALSE,73,Burning sage kills 94% of bacteria.,"Read the claim below, then answer the question at the end:

Claim: Burning sage kills 94% of bacteria.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5624,,,,,,,
FALSE,75,A recent invasion of New Guinea Flatworms in Florida poses a significant risk to human health.,"Read the claim below, then answer the question at the end:

Claim: A recent invasion of New Guinea Flatworms in Florida poses a significant risk to human health.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5630,,,,,,,
FALSE,76,Conspiracy theorists are generally more sane than other people.,"Read the claim below, then answer the question at the end:

Claim: Conspiracy theorists are generally more sane than other people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5631,,,,,,,
FALSE,77,Volcanic activity in Hawaii is due to increased fracking activity from a nearby geothermal energy plant.,"Read the claim below, then answer the question at the end:

Claim: Volcanic activity in Hawaii is due to increased fracking activity from a nearby geothermal energy plant.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5632,,,,,,,
FALSE,78,An ancient civilization built pyramids in Antarctica 100 million years ago.,"Read the claim below, then answer the question at the end:

Claim: An ancient civilization built pyramids in Antarctica 100 million years ago.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5634,,,,,,,
FALSE,79,Nearly all of global warming has been fabricated by climate scientists.,"Read the claim below, then answer the question at the end:

Claim: Nearly all of global warming has been fabricated by climate scientists.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5636,,,,,,,
FALSE,80,"If the vial to a mercury-containing vaccine is broken, the building must be evacuated.","Read the claim below, then answer the question at the end:

Claim: If the vial to a mercury-containing vaccine is broken, the building must be evacuated.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5639,,,,,,,
FALSE,81,Abortions increase a woman's risk of developing breast cancer.,"Read the claim below, then answer the question at the end:

Claim: Abortions increase a woman's risk of developing breast cancer.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5642,,,,,,,
FALSE,82,"Salt lamps emit negatively charged ions, providing a myriad health benefits including reduced anxiety, improved sleep, increased energy, and protection from an electric smog.","Read the claim below, then answer the question at the end:

Claim: Salt lamps emit negatively charged ions, providing a myriad health benefits including reduced anxiety, improved sleep, increased energy, and protection from an electric smog.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5644,,,,,,,
FALSE,83,Women need more sleep than men because their brains get more use on a day-to-day basis.,"Read the claim below, then answer the question at the end:

Claim: Women need more sleep than men because their brains get more use on a day-to-day basis.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5645,,,,,,,
FALSE,85,Vaccinated and boosted people are more susceptible to the omicron variant.,"Read the claim below, then answer the question at the end:

Claim: Vaccinated and boosted people are more susceptible to the omicron variant.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5649,,,,,,,
FALSE,86,Insulin price increases are due to increased consumer demand.,"Read the claim below, then answer the question at the end:

Claim: Insulin price increases are due to increased consumer demand.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5651,,,,,,,
FALSE,87,Wearing masks isn't doing anything to prevent COVID-19.,"Read the claim below, then answer the question at the end:

Claim: Wearing masks isn't doing anything to prevent COVID-19.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5652,,,,,,,
FALSE,88,The Centers for Disease Control and Prevention's recent guidance on students and masking lacks a well-grounded scientific justification.,"Read the claim below, then answer the question at the end:

Claim: The Centers for Disease Control and Prevention's recent guidance on students and masking lacks a well-grounded scientific justification.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",It is not possible to determine the truth of this claim without further information and evidence.,,,5653,,,,,,,
FALSE,89,Dandelion root is able to kill 98% of cancer cells within 48 hours.,"Read the claim below, then answer the question at the end:

Claim: Dandelion root is able to kill 98% of cancer cells within 48 hours.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5654,,,,,,,
FALSE,90,Covid vaccines cause shingles.,"Read the claim below, then answer the question at the end:

Claim: Covid vaccines cause shingles.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5655,,,,,,,
FALSE,91,Americans with natural immunity from getting COVID-19 is a very powerful vaccine in itself.,"Read the claim below, then answer the question at the end:

Claim: Americans with natural immunity from getting COVID-19 is a very powerful vaccine in itself.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5656,,,,,,,
FALSE,100,Sugar makes kids hyperactive,"Read the claim below, then answer the question at the end:

Claim: Sugar makes kids hyperactive
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7210,,,,,,,
TRUE,1,Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.,"Read the claim below, then answer the question at the end:

Claim: Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,132,,,,,,,
TRUE,2,"Sun exposure, and diet, causes skin cancers.","Read the claim below, then answer the question at the end:

Claim: Sun exposure, and diet, causes skin cancers.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,170,,,,,,,
TRUE,5,Hand sanitizer can invalidate breath alcohol test results.,"Read the claim below, then answer the question at the end:

Claim: Hand sanitizer can invalidate breath alcohol test results.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7240,,,,,,,
TRUE,9,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.,"Read the claim below, then answer the question at the end:

Claim: Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,367,,,,,,,
TRUE,11,The macaw species from the Rio movies has been declared extinct in the wild.,"Read the claim below, then answer the question at the end:

Claim: The macaw species from the Rio movies has been declared extinct in the wild.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5603,,,,,,,
TRUE,16,"Face masks generally block microplastics from entering people's lungs, but not completely.","Read the claim below, then answer the question at the end:

Claim: Face masks generally block microplastics from entering people's lungs, but not completely.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,193,,,,,,,
TRUE,20,"COVID-19 is caused by a virus, not snake venom.","Read the claim below, then answer the question at the end:

Claim: COVID-19 is caused by a virus, not snake venom.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,451,,,,,,,
TRUE,28,"Vaccines help reduce transmission by preventing infection in the first place, as well as reducing how infectious a person becomes once infected.","Read the claim below, then answer the question at the end:

Claim: Vaccines help reduce transmission by preventing infection in the first place, as well as reducing how infectious a person becomes once infected.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1061,,,,,,,
TRUE,35,No evidence aspirin is 'being attacked' because 'it's proven' to treat COVID-19,"Read the claim below, then answer the question at the end:

Claim: No evidence aspirin is 'being attacked' because 'it's proven' to treat COVID-19
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,1226,,,,,,,
TRUE,38,No evidence graphene oxide is present in available COVID-19 vaccines via lipid nanoparticles,"Read the claim below, then answer the question at the end:

Claim: No evidence graphene oxide is present in available COVID-19 vaccines via lipid nanoparticles
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1484,,,,,,,
TRUE,44,Unvaccinated people are more susceptible to catching COVID-19 than vaccinated people.,"Read the claim below, then answer the question at the end:

Claim: Unvaccinated people are more susceptible to catching COVID-19 than vaccinated people.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,1748,,,,,,,
TRUE,57,"Koch's postulates, a criteria to establish relationships between microbes and diseases, do not need to be fulfilled to prove the existence of a virus.","Read the claim below, then answer the question at the end:

Claim: Koch's postulates, a criteria to establish relationships between microbes and diseases, do not need to be fulfilled to prove the existence of a virus.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,2211,,,,,,,
TRUE,58,Populations of wild deer across North America was tested positive for SARS-CoV-2 antibodies.,"Read the claim below, then answer the question at the end:

Claim: Populations of wild deer across North America was tested positive for SARS-CoV-2 antibodies.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,5601,,,,,,,
TRUE,63,Dogs show jealousy if they catch their owners behaving sweetly toward other dogs.,"Read the claim below, then answer the question at the end:

Claim: Dogs show jealousy if they catch their owners behaving sweetly toward other dogs.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5607,,,,,,,
TRUE,69,"During pregnancy, if the mother suffers organ damage, the baby in the womb sends stem cells to repair the damaged organ.","Read the claim below, then answer the question at the end:

Claim: During pregnancy, if the mother suffers organ damage, the baby in the womb sends stem cells to repair the damaged organ.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5614,,,,,,,
TRUE,70,Marijuana plays a role in healing broken bones.,"Read the claim below, then answer the question at the end:

Claim: Marijuana plays a role in healing broken bones.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5615,,,,,,,
TRUE,72,"Goldfish can steer a specially designed ""fish-operated vehicle"" to get food.","Read the claim below, then answer the question at the end:

Claim: Goldfish can steer a specially designed ""fish-operated vehicle"" to get food.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5619,,,,,,,
TRUE,74,"Cocaine is present in multiple, freshwater-shrimp samples across the U.K.","Read the claim below, then answer the question at the end:

Claim: Cocaine is present in multiple, freshwater-shrimp samples across the U.K.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5627,,,,,,,
TRUE,84,Global sea ice coverage is at a record-breaking low.,"Read the claim below, then answer the question at the end:

Claim: Global sea ice coverage is at a record-breaking low.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,5647,,,,,,,
TRUE,92,Electricity can be generated from tears and saliva.,"Read the claim below, then answer the question at the end:

Claim: Electricity can be generated from tears and saliva.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7202,,,,,,,
TRUE,93,"The electrons around berkelium are governed by Einstein's theory of relativity, which predicts that as objects with mass move faster, they get heavier.","Read the claim below, then answer the question at the end:

Claim: The electrons around berkelium are governed by Einstein's theory of relativity, which predicts that as objects with mass move faster, they get heavier.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7203,,,,,,,
TRUE,94,The perception of event timing explains the belief of psychic abilities.,"Read the claim below, then answer the question at the end:

Claim: The perception of event timing explains the belief of psychic abilities.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7204,,,,,,,
TRUE,95,"Flaws in past ocean temperature estimates suggest ancient seas were cooler than believed, making the current global warming trend more extraordinary.","Read the claim below, then answer the question at the end:

Claim: Flaws in past ocean temperature estimates suggest ancient seas were cooler than believed, making the current global warming trend more extraordinary.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7205,,,,,,,
TRUE,96,Earth's sloshing molten core could give us earthquake warnings 5 years ahead.,"Read the claim below, then answer the question at the end:

Claim: Earth's sloshing molten core could give us earthquake warnings 5 years ahead.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7206,,,,,,,
TRUE,97,It's possible for lasers to transfer its momentum to create a stream of liquid.,"Read the claim below, then answer the question at the end:

Claim: It's possible for lasers to transfer its momentum to create a stream of liquid.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7207,,,,,,,
TRUE,98,Cargo ships are triggering more lightning storms at sea.,"Read the claim below, then answer the question at the end:

Claim: Cargo ships are triggering more lightning storms at sea.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7208,,,,,,,
TRUE,99,Sleep deprivation is surprisingly effective as an antidepressant.,"Read the claim below, then answer the question at the end:

Claim: Sleep deprivation is surprisingly effective as an antidepressant.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",FALSE,,1,7209,,,,,,,
TRUE,101,"Scientists have discovered the existence of a type of particle that's never previously been observed, which demonstrates unprecedented chemical stability.","Read the claim below, then answer the question at the end:

Claim: Scientists have discovered the existence of a type of particle that's never previously been observed, which demonstrates unprecedented chemical stability.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7211,,,,,,,
TRUE,102,A monkey mother consumes her mummified dead baby.,"Read the claim below, then answer the question at the end:

Claim: A monkey mother consumes her mummified dead baby.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7212,,,,,,,
TRUE,103,Weather is a serious risk factor for heart failure.,"Read the claim below, then answer the question at the end:

Claim: Weather is a serious risk factor for heart failure.
Question: Is this claim true or false? Answer with TRUE or FALSE.

",TRUE,1,,7214,,,,,,,
